case_id,distance,edges,emergency,exact,found,nodes,oracle,path_distance,ratio,seed,solver,steps,strategy,time_ms,topology,valid,within10,work
9,49.058938674633474,3120,False,True,True,1600,False,49.058938674633474,1.0,0,dijkstra,1600,,16.071003999968525,weighted_noise,True,True,6238
9,49.05893867463347,3120,False,True,True,1600,False,49.058938674633474,0.9999999999999999,0,bidir,1484,,26.884252000854758,weighted_noise,True,True,4672
9,50.395915991469856,3120,False,False,True,1600,False,50.33531960013587,1.0272524712714113,0,astar,148,,1.34129700018093,weighted_noise,False,True,580
9,49.058938674633474,3120,False,True,True,1600,False,49.058938674633474,1.0,0,dg5_clean,1484,,40.65990400067676,weighted_noise,True,True,12512
9,49.05893867463347,3120,False,True,True,1600,False,49.058938674633474,0.9999999999999999,0,dg6,478,weighted_cost,5.416523999883793,weighted_noise,True,True,1152
10,46.89970798063637,3120,False,True,True,1600,False,46.89970798063637,1.0,1,dijkstra,1600,,18.2780820005064,weighted_noise,True,True,6238
10,46.899707980636364,3120,False,True,True,1600,False,46.89970798063637,0.9999999999999999,1,bidir,1444,,27.77583199986111,weighted_noise,True,True,4621
10,51.427650552665646,3120,False,False,True,1600,False,50.811728234701015,1.0965452188721247,1,astar,152,,1.3959190000605304,weighted_noise,False,True,598
10,46.89970798063637,3120,False,True,True,1600,False,46.89970798063637,1.0,1,dg5_clean,1444,,41.38191099991673,weighted_noise,True,True,12461
10,47.160202305599896,3120,False,False,True,1600,False,47.1602023055999,1.0055542845825622,1,dg6,471,weighted_cost,5.446027999823855,weighted_noise,True,True,1152
11,48.36186860781894,3120,False,True,True,1600,False,48.36186860781894,1.0,2,dijkstra,1600,,17.333081999822753,weighted_noise,True,True,6238
11,48.361868607818955,3120,False,True,True,1600,False,48.36186860781894,1.0000000000000002,2,bidir,1542,,29.321997999431915,weighted_noise,True,True,4906
11,49.35240932371695,3120,False,False,True,1600,False,49.35240932371695,1.0204818536672062,2,astar,152,,1.3955889999124338,weighted_noise,True,True,595
11,48.36186860781894,3120,False,True,True,1600,False,48.36186860781894,1.0,2,dg5_clean,1542,,43.00704900015262,weighted_noise,True,True,12746
11,50.551485083519644,3120,False,False,True,1600,False,50.551485083519644,1.04527567976037,2,dg6,10,weighted_cost,12.62449200021365,weighted_noise,True,True,1152
12,38.0,703,False,True,True,381,False,38.0,1.0,0,dijkstra,318,,2.0665470001404174,wall,True,True,1175
12,38.0,703,False,True,True,381,False,38.0,1.0,0,bidir,306,,4.4394349997674,wall,True,True,1136
12,38.0,703,False,True,True,381,False,38.0,1.0,0,astar,253,,1.5512930003751535,wall,True,True,929
12,38.0,703,False,True,True,381,False,38.0,1.0,0,dg5_clean,41,,3.0665559997942182,wall,True,True,1826
12,38.0,703,False,True,True,381,False,38.0,1.0,0,dg6,4,grid_detour,1.5512720001424896,wall,True,True,38
13,38.0,703,False,True,True,381,False,38.0,1.0,1,dijkstra,282,,1.7641820004428155,wall,True,True,1039
13,38.0,703,False,True,True,381,False,38.0,1.0,1,bidir,320,,4.469650999453734,wall,True,True,1188
13,38.0,703,False,True,True,381,False,38.0,1.0,1,astar,233,,1.3748470000791713,wall,True,True,854
13,38.0,703,False,True,True,381,False,38.0,1.0,1,dg5_clean,41,,3.153120999741077,wall,True,True,1826
13,38.0,703,False,True,True,381,False,38.0,1.0,1,dg6,4,grid_detour,1.3483969996741507,wall,True,True,38
14,38.0,703,False,True,True,381,False,38.0,1.0,2,dijkstra,264,,1.6751190005379613,wall,True,True,971
14,38.0,703,False,True,True,381,False,38.0,1.0,2,bidir,324,,5.1689219999389024,wall,True,True,1202
14,38.0,703,False,True,True,381,False,38.0,1.0,2,astar,219,,1.1593130002438556,wall,True,True,801
14,38.0,703,False,True,True,381,False,38.0,1.0,2,dg5_clean,41,,2.9297150003912975,wall,True,True,1826
14,38.0,703,False,True,True,381,False,38.0,1.0,2,dg6,4,grid_detour,1.3365690001592156,wall,True,True,38
15,78.0,3003,False,True,True,1561,False,78.0,1.0,0,dijkstra,1257,,12.308375999964483,wall,True,True,4839
15,78.0,3003,False,True,True,1561,False,78.0,1.0,0,bidir,1295,,25.884489000418398,wall,True,True,4998
15,78.0,3003,False,True,True,1561,False,78.0,1.0,0,astar,990,,9.239322000212269,wall,True,True,3800
15,78.0,3003,False,True,True,1561,False,78.0,1.0,0,dg5_clean,159,,13.588420999440132,wall,True,True,7724
15,78.0,3003,False,True,True,1561,False,78.0,1.0,0,dg6,4,grid_detour,3.3862919999592123,wall,True,True,78
16,78.0,3003,False,True,True,1561,False,78.0,1.0,1,dijkstra,1105,,10.74134100053925,wall,True,True,4247
16,78.0,3003,False,True,True,1561,False,78.0,1.0,1,bidir,1339,,26.355947999945784,wall,True,True,5166
16,78.0,3003,False,True,True,1561,False,78.0,1.0,1,astar,900,,8.668212999509706,wall,True,True,3449
16,78.0,3003,False,True,True,1561,False,78.0,1.0,1,dg5_clean,159,,13.159600999642862,wall,True,True,7724
16,78.0,3003,False,True,True,1561,False,78.0,1.0,1,dg6,4,grid_detour,3.6108690001128707,wall,True,True,78
17,78.0,3003,False,True,True,1561,False,78.0,1.0,2,dijkstra,1029,,10.776193000310741,wall,True,True,3951
17,78.0,3003,False,True,True,1561,False,78.0,1.0,2,bidir,1349,,30.65820700066979,wall,True,True,5202
17,78.0,3003,False,True,True,1561,False,78.0,1.0,2,astar,839,,8.548022000468336,wall,True,True,3211
17,78.0,3003,False,True,True,1561,False,78.0,1.0,2,dg5_clean,159,,14.560518000507727,wall,True,True,7724
17,78.0,3003,False,True,True,1561,False,78.0,1.0,2,dg6,4,grid_detour,3.4083649998137844,wall,True,True,78
18,72.0,646,False,True,True,362,False,72.0,1.0,0,dijkstra,362,,2.4882810002964106,double_wall,True,True,1290
18,72.0,646,False,True,True,362,False,72.0,1.0,0,bidir,356,,5.714060999707726,double_wall,True,True,1270
18,72.0,646,False,True,True,362,False,72.0,1.0,0,astar,359,,2.524807000554574,double_wall,True,True,1282
18,72.0,646,False,True,True,362,False,72.0,1.0,0,dg5_clean,410,,4.760377000820881,double_wall,True,True,2060
18,72.0,646,False,True,True,362,False,72.0,1.0,0,dg6,4,grid_detour,1.2732750001305249,double_wall,True,True,72
19,38.0,646,False,True,True,362,False,38.0,1.0,1,dijkstra,275,,1.6421489999629557,double_wall,True,True,977
19,38.0,646,False,True,True,362,False,38.0,1.0,1,bidir,314,,4.130551000343985,double_wall,True,True,1128
19,38.0,646,False,True,True,362,False,38.0,1.0,1,astar,254,,1.3899900004616939,double_wall,True,True,900
19,62.0,646,False,False,True,362,False,62.0,1.631578947368421,1,dg5_clean,286,,3.9700889992673183,double_wall,True,False,1938
19,38.0,646,False,True,True,362,False,38.0,1.0,1,dg6,4,grid_detour,1.182107999738946,double_wall,True,True,38
20,72.0,646,False,True,True,362,False,72.0,1.0,2,dijkstra,362,,2.4599489997854107,double_wall,True,True,1290
20,72.0,646,False,True,True,362,False,72.0,1.0,2,bidir,356,,5.004084000574949,double_wall,True,True,1270
20,72.0,646,False,True,True,362,False,72.0,1.0,2,astar,359,,2.442533000248659,double_wall,True,True,1282
20,72.0,646,False,True,True,362,False,72.0,1.0,2,dg5_clean,410,,5.197419000069203,double_wall,True,True,2060
20,72.0,646,False,True,True,362,False,72.0,1.0,2,dg6,4,grid_detour,1.2413469994498882,double_wall,True,True,72
21,152.0,2886,False,True,True,1522,False,152.0,1.0,0,dijkstra,1522,,15.770381999573146,double_wall,True,True,5770
21,152.0,2886,False,True,True,1522,False,152.0,1.0,0,bidir,1510,,28.917921000356728,double_wall,True,True,5726
21,152.0,2886,False,True,True,1522,False,152.0,1.0,0,astar,1519,,16.411405999861017,double_wall,True,True,5762
21,152.0,2886,False,True,True,1522,False,152.0,1.0,0,dg5_clean,1628,,19.799014999989595,double_wall,True,True,8919
21,152.0,2886,False,True,True,1522,False,152.0,1.0,0,dg6,4,grid_detour,2.7816629999506404,double_wall,True,True,152
22,78.0,2886,False,True,True,1522,False,78.0,1.0,1,dijkstra,1119,,10.263541999847803,double_wall,True,True,4233
22,78.0,2886,False,True,True,1522,False,78.0,1.0,1,bidir,1328,,26.503891000174917,double_wall,True,True,5052
22,78.0,2886,False,True,True,1522,False,78.0,1.0,1,astar,1028,,9.365982999952394,double_wall,True,True,3883
22,138.0,2886,False,False,True,1522,False,138.0,1.7692307692307692,1,dg5_clean,1061,,17.963249999411346,double_wall,True,False,8353
22,78.0,2886,False,True,True,1522,False,78.0,1.0,1,dg6,4,grid_detour,3.06192399966676,double_wall,True,True,78
23,152.0,2886,False,True,True,1522,False,152.0,1.0,2,dijkstra,1522,,15.41086199995334,double_wall,True,True,5770
23,152.0,2886,False,True,True,1522,False,152.0,1.0,2,bidir,1510,,29.04353899975831,double_wall,True,True,5726
23,152.0,2886,False,True,True,1522,False,152.0,1.0,2,astar,1519,,14.796257999478257,double_wall,True,True,5762
23,152.0,2886,False,True,True,1522,False,152.0,1.0,2,dg5_clean,1628,,21.09668499997497,double_wall,True,True,8919
23,152.0,2886,False,True,True,1522,False,152.0,1.0,2,dg6,4,grid_detour,3.7600940004267613,double_wall,True,True,152
24,38.0,663,False,True,True,368,False,38.0,1.0,0,dijkstra,368,,2.911057000346773,u_shape,True,True,1324
24,38.0,663,False,True,True,368,False,38.0,1.0,0,bidir,317,,5.357555999580654,u_shape,True,True,1147
24,38.0,663,False,True,True,368,False,38.0,1.0,0,astar,368,,3.0216039995139,u_shape,True,True,1324
24,38.0,663,False,True,True,368,False,38.0,1.0,0,dg5_clean,75,,3.2590450000498095,u_shape,True,True,1767
24,38.0,663,False,True,True,368,False,38.0,1.0,0,dg6,4,geometric_corridor,1.9281089998912648,u_shape,True,True,166
25,38.0,663,False,True,True,368,False,38.0,1.0,1,dijkstra,368,,2.6838750000024447,u_shape,True,True,1324
25,38.0,663,False,True,True,368,False,38.0,1.0,1,bidir,317,,4.6929169993745745,u_shape,True,True,1147
25,38.0,663,False,True,True,368,False,38.0,1.0,1,astar,368,,2.776995000203897,u_shape,True,True,1324
25,38.0,663,False,True,True,368,False,38.0,1.0,1,dg5_clean,75,,3.0100370004220167,u_shape,True,True,1767
25,38.0,663,False,True,True,368,False,38.0,1.0,1,dg6,4,geometric_corridor,1.928310000039346,u_shape,True,True,166
26,38.0,663,False,True,True,368,False,38.0,1.0,2,dijkstra,368,,2.603183999781322,u_shape,True,True,1324
26,38.0,663,False,True,True,368,False,38.0,1.0,2,bidir,317,,5.083863999971072,u_shape,True,True,1147
26,38.0,663,False,True,True,368,False,38.0,1.0,2,astar,368,,2.5749809992703376,u_shape,True,True,1324
26,38.0,663,False,True,True,368,False,38.0,1.0,2,dg5_clean,75,,2.758196999820939,u_shape,True,True,1767
26,38.0,663,False,True,True,368,False,38.0,1.0,2,dg6,4,geometric_corridor,2.1950609998384607,u_shape,True,True,166
27,78.0,2933,False,True,True,1538,False,78.0,1.0,0,dijkstra,1538,,16.150983999978052,u_shape,True,True,5864
27,78.0,2933,False,True,True,1538,False,78.0,1.0,0,bidir,1362,,27.23230599985982,u_shape,True,True,5205
27,78.0,2933,False,True,True,1538,False,78.0,1.0,0,astar,1538,,16.298497000207135,u_shape,True,True,5864
27,78.0,2933,False,True,True,1538,False,78.0,1.0,0,dg5_clean,156,,11.960544000430673,u_shape,True,True,7558
27,78.0,2933,False,True,True,1538,False,78.0,1.0,0,dg6,6,geometric_corridor,5.70274499932566,u_shape,True,True,693
28,78.0,2933,False,True,True,1538,False,78.0,1.0,1,dijkstra,1538,,15.242718999616045,u_shape,True,True,5864
28,78.0,2933,False,True,True,1538,False,78.0,1.0,1,bidir,1362,,26.900697999735712,u_shape,True,True,5205
28,78.0,2933,False,True,True,1538,False,78.0,1.0,1,astar,1538,,15.45633000023372,u_shape,True,True,5864
28,78.0,2933,False,True,True,1538,False,78.0,1.0,1,dg5_clean,156,,12.952355000379612,u_shape,True,True,7558
28,78.0,2933,False,True,True,1538,False,78.0,1.0,1,dg6,6,geometric_corridor,5.721632999666326,u_shape,True,True,693
29,78.0,2933,False,True,True,1538,False,78.0,1.0,2,dijkstra,1538,,14.770998999665608,u_shape,True,True,5864
29,78.0,2933,False,True,True,1538,False,78.0,1.0,2,bidir,1362,,28.36759300043923,u_shape,True,True,5205
29,78.0,2933,False,True,True,1538,False,78.0,1.0,2,astar,1538,,14.895405999595823,u_shape,True,True,5864
29,78.0,2933,False,True,True,1538,False,78.0,1.0,2,dg5_clean,156,,12.474827000005462,u_shape,True,True,7558
29,78.0,2933,False,True,True,1538,False,78.0,1.0,2,dg6,6,geometric_corridor,5.993691999719886,u_shape,True,True,693
