cases,emergency_rate,mean_distance_ratio,mean_steps,mean_time_ms,mean_work,median_time_ms,topology,within_10pct_rate,worst_distance_ratio
6,0.0,1.0,4.166666666666667,6.205485166598616,195,6.132701000296947,clustered,1.0,1.0
6,0.0,1.0,5,3.9821563335256847,430,4.0281920005327265,culdesac,1.0,1.0
6,0.0,1.0,1,1.4533919999545712,0,1.4388585000233434,disconnected,1.0,1.0
6,0.0,1.0,4,2.216735166560587,94,2.0274690000405826,double_wall,1.0,1.0
6,0.0,1.0,5,3.825097833214386,450,3.9345205000245187,open,1.0,1.0
6,0.0,1.0613365589945332,3.6666666666666665,2.902082166959493,292.5,3.0216885002118943,random_geometric,1.0,1.0945885541825005
6,0.0,1.0,5,3.5882736666887163,394.6666666666667,3.5344195002835477,random_obstacles,1.0,1.0
6,0.0,1.0,5.833333333333333,1.7729841667157114,216.83333333333334,0.9395530000801955,scale_free_no_pos,1.0,1.0
6,0.0,1.0,6.333333333333333,2.6888778331037124,216.83333333333334,1.6007569997782412,scale_free_pos,1.0,1.0
6,0.0,1.0,4,2.0485018333905223,58,1.9271024998488429,spiral,1.0,1.0
6,0.0,1.0,5,3.9115916664134907,429.5,3.94890299958206,u_shape,1.0,1.0
6,0.0,1.0,4,2.4402939999769537,58,2.468782000050851,wall,1.0,1.0
6,0.0,1.008471660723822,217.66666666666666,4.779073999998218,716.8333333333334,3.65998799998124,weighted_noise,1.0,1.04527567976037
