active_nodes,distance,distance_ratio,error_code,exact_distance,found,gap_side,nodes,path_valid,preprocessing_time_ms,preprocessing_work,query_time_ms,query_work,recomputed_distance,reentry_count,switch_count,target_exact_count,total_time_ms,total_work,variant
4831,137.0,1.0148148148148148,,135.0,True,top,4900,True,2.0419200000105775,4831,14.039036999747623,4875,137.0,0,1,1,16.081287999440974,9706,legacy_current
4831,137.0,1.0148148148148148,,135.0,True,top,4900,True,1.478590999795415,4831,29.30998699957854,3380,137.0,1,1,0,30.789388999437506,8211,dg5_adaptive_window
4831,137.0,1.0148148148148148,,135.0,True,top,4900,True,2.5180080001518945,4831,35.28943800029083,6324,137.0,0,1,1,37.818933999915316,11155,delayed_32
4831,137.0,1.0148148148148148,,135.0,True,top,4900,True,2.254951000395522,4831,30.033664999791654,3380,137.0,1,1,0,32.28940799999691,8211,delayed_128
4831,137.0,1.0148148148148148,,135.0,True,top,4900,True,2.354412000386219,4831,35.60136299893202,3948,137.0,1,1,0,37.962524999784364,8779,progress_40
4831,137.0,1.0148148148148148,,135.0,True,top,4900,True,2.0379150000735535,4831,43.45057299997279,4340,137.0,0,1,1,45.48931899989839,9171,no_reentry_target
4831,133.0,1.0,,133.0,True,bottom,4900,True,,,,,133.0,0,0,0,45.99154700008512,16320,dijkstra
4831,133.0,1.0,,133.0,True,bottom,4900,True,,,,,133.0,0,0,0,107.65434800032381,18884,bidirectional_dijkstra
4831,133.0,1.0,,133.0,True,bottom,4900,True,,,,,133.0,0,0,0,39.83201600021857,14133,astar
4831,133.0,1.0,,133.0,True,bottom,4900,True,2.1305439995558118,4831,14.98850000098173,4732,133.0,0,1,1,17.11979500032612,9563,legacy_current
4831,133.0,1.0,,133.0,True,bottom,4900,True,1.7672149997451925,4831,25.956143999792403,3273,133.0,1,1,0,27.723909999622265,8104,dg5_adaptive_window
4831,133.0,1.0,,133.0,True,bottom,4900,True,2.118594999956258,4831,30.78597500007163,6181,133.0,0,1,1,32.913222999923164,11012,delayed_32
4831,133.0,1.0,,133.0,True,bottom,4900,True,2.315722999810532,4831,29.60604500003683,3273,133.0,1,1,0,31.922408000355063,8104,delayed_128
4831,133.0,1.0,,133.0,True,bottom,4900,True,2.208590999543958,4831,34.733695000795706,3918,133.0,1,1,0,36.942947000170534,8749,progress_40
4831,133.0,1.0,,133.0,True,bottom,4900,True,2.6731920006568544,4831,38.92683999856672,4337,133.0,0,1,1,41.6006829991602,9168,no_reentry_target
