distance,distance_ratio,error_code,exact_path_overlap_rate,fallback_used,found,frontier_revisit_rate,heuristic_reversal_rate,nodes,parallel_steps,peak_memory_kib,preprocessing_time_ms,preprocessing_work,query_time_ms,query_work,reentry_count,reentry_count_trace,reentry_survival_mean,reentry_survival_min,requested_nodes,seed,solver,switch_count,switch_distance_mean,topology,total_time_ms,total_work,trace_events
78.0,1.0,,,False,True,,,1600,1600,342.765625,0.0,0,15.611328999511898,6238,0,,,,1600,2,astar,0,,normal,15.611328999511898,6238,
38.0,1.0,,0.0,False,True,1.0,0.0,382,41,0.0,0.10500899952603504,382,0.308595000205969,39,0,0,0,0,400,0,mrpc_dg5_switchback,0,0,wall,0.413804000345408,421,4
38.0,1.0,,,False,True,,,382,265,32.7109375,0.0,0,1.41652599995723,977,0,,,,400,0,dijkstra,0,,wall,1.41652599995723,977,
38.0,1.0,,,False,True,,,382,327,171.421875,0.0,0,4.5166529998823535,1214,0,,,,400,0,bidirectional_dijkstra,0,,wall,4.5166529998823535,1214,
38.0,1.0,,,False,True,,,382,220,33.078125,0.0,0,1.146869999502087,807,0,,,,400,0,astar,0,,wall,1.146869999502087,807,
38.0,1.0,,0.0,False,True,1.0,0.0,382,41,0.0,0.10195300001214491,382,0.2640689999680035,39,0,0,0,0,400,1,mrpc_dg5_switchback,0,0,wall,0.366181999197579,421,4
38.0,1.0,,,False,True,,,382,265,32.7109375,0.0,0,1.3819749992762809,977,0,,,,400,1,dijkstra,0,,wall,1.3819749992762809,977,
38.0,1.0,,,False,True,,,382,327,171.40625,0.0,0,4.650385000786628,1214,0,,,,400,1,bidirectional_dijkstra,0,,wall,4.650385000786628,1214,
38.0,1.0,,,False,True,,,382,220,33.078125,0.0,0,1.141061999987869,807,0,,,,400,1,astar,0,,wall,1.141061999987869,807,
38.0,1.0,,0.0,False,True,1.0,0.0,382,41,0.0,0.10400600058346754,382,0.26874699869949836,39,0,0,0,0,400,2,mrpc_dg5_switchback,0,0,wall,0.37298299957910785,421,4
38.0,1.0,,,False,True,,,382,265,32.7109375,0.0,0,1.371538000057626,977,0,,,,400,2,dijkstra,0,,wall,1.371538000057626,977,
38.0,1.0,,,False,True,,,382,327,171.3828125,0.0,0,4.747490999761794,1214,0,,,,400,2,bidirectional_dijkstra,0,,wall,4.747490999761794,1214,
38.0,1.0,,,False,True,,,382,220,33.078125,0.0,0,1.1356429995430517,807,0,,,,400,2,astar,0,,wall,1.1356429995430517,807,
58.0,1.0,,0.0,False,True,1.0,0.0,873,90,0.0,0.2539329998398898,873,0.5413070002759923,88,0,0,0,0,900,0,mrpc_dg5_switchback,0,0,wall,0.7954299999255454,961,4
58.0,1.0,,,False,True,,,873,614,83.8046875,0.0,0,4.871739000009256,2331,0,,,,900,0,dijkstra,0,,wall,4.871739000009256,2331,
58.0,1.0,,,False,True,,,873,753,454.0859375,0.0,0,13.30627200059098,2870,0,,,,900,0,bidirectional_dijkstra,0,,wall,13.30627200059098,2870,
58.0,1.0,,,False,True,,,873,505,84.3515625,0.0,0,3.9086659999156836,1911,0,,,,900,0,astar,0,,wall,3.9086659999156836,1911,
58.0,1.0,,0.0,False,True,1.0,0.0,873,90,0.0,0.2543030004744651,873,0.5335449995982344,88,0,0,0,0,900,1,mrpc_dg5_switchback,0,0,wall,0.7880889997977647,961,4
