case_id,distance,found,gate_action,gate_reasons,path_distance,quality_guard_replaced,quality_guard_used,reentry_count,requested_nodes,seed,switch_count,topology,total_time_ms,total_work,valid,variant
25,38.0,True,,,38.0,False,True,0,400,1,1,u_shape,26.07272499994906,2914,True,gate
26,38.0,True,,,38.0,False,False,0,400,2,1,u_shape,2.2939399999586385,441,True,base
26,38.0,True,,,38.0,False,True,0,400,2,1,u_shape,23.97772199992687,2914,True,gate
27,78.0,True,,,78.0,False,False,0,1600,0,0,u_shape,7.458005999978923,1692,True,base
27,78.0,True,,,78.0,False,False,0,1600,0,0,u_shape,95.18173799995111,7558,True,gate
28,78.0,True,,,78.0,False,False,0,1600,1,0,u_shape,7.683595000003152,1692,True,base
28,78.0,True,,,78.0,False,False,0,1600,1,0,u_shape,81.29779900002632,7558,True,gate
29,78.0,True,,,78.0,False,False,0,1600,2,0,u_shape,7.535813000004055,1692,True,base
29,78.0,True,,,78.0,False,False,0,1600,2,0,u_shape,100.13402100003077,7558,True,gate
30,38.0,True,,,38.0,False,False,0,400,0,1,culdesac,2.4316369999723975,448,True,base
30,38.0,True,,,38.0,False,True,0,400,0,1,culdesac,26.507451000043147,2967,True,gate
31,38.0,True,,,38.0,False,False,0,400,1,1,culdesac,2.3647069999697123,448,True,base
31,38.0,True,,,38.0,False,True,0,400,1,1,culdesac,25.180012000078023,2967,True,gate
32,38.0,True,,,38.0,False,False,0,400,2,1,culdesac,2.4656780000213985,448,True,base
32,38.0,True,,,38.0,False,True,0,400,2,1,culdesac,28.13895400004185,2967,True,gate
33,78.0,True,,,78.0,False,False,0,1600,0,0,culdesac,7.742753000002267,1694,True,base
33,78.0,True,,,78.0,False,False,0,1600,0,0,culdesac,103.64261800009444,7572,True,gate
34,78.0,True,,,78.0,False,False,0,1600,1,0,culdesac,8.08242200002951,1694,True,base
34,78.0,True,,,78.0,False,False,0,1600,1,0,culdesac,101.10013399992113,7572,True,gate
35,78.0,True,,,78.0,False,False,0,1600,2,0,culdesac,7.9337990000567515,1694,True,base
35,78.0,True,,,78.0,False,False,0,1600,2,0,culdesac,106.89877599997999,7572,True,gate
36,60.0,True,,,60.0,False,False,0,400,0,1,spiral,7.7580349999379905,679,True,base
36,38.0,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,38.0,True,True,0,400,0,1,spiral,27.990095999939513,2651,True,gate
37,60.0,True,,,60.0,False,False,0,400,1,1,spiral,7.498357000031319,679,True,base
37,38.0,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,38.0,True,True,0,400,1,1,spiral,27.34294599997611,2651,True,gate
38,60.0,True,,,60.0,False,False,0,400,2,1,spiral,7.891014999927393,679,True,base
38,38.0,True,MRPC_FAST_PATH;QUALITY_GUARD_EXACT_REPLACE,,38.0,True,True,0,400,2,1,spiral,28.903485999990153,2651,True,gate
