cases,found_rate,mean_critical_path_ops,mean_distance_ratio,mean_logical_rounds,mean_parallel_width,mean_serial_fraction,mean_wall_ms,mean_work,mean_worker_utilization,solver,topology,valid_rate,workers,worst_distance_ratio
6,1.0,544,1.0,544,1,1,12.230849833334409,5441.5,1,astar,clustered,1.0,1,1.0
6,1.0,789.5,1.0,789.5,1,1,23.697983833244507,5096.5,1,bidir,clustered,1.0,1,1.0000000000000002
6,1.0,1265,1.4913878672942091,1204.5,1.0,0.5,8.662056500118828,1875.5,1.0,dg5_bulk,clustered,0.8333333333333334,1,2.1177115084737506
6,1.0,689.3333333333334,1.7729060803488212,657.3333333333334,1.9391359992272772,0.34025634043171216,9.185056666865421,1807.3333333333333,0.9695679996136386,dg5_bulk,clustered,1.0,2,2.1343551427740772
6,1.0,316.8333333333333,1.5215505036214445,298.8333333333333,3.632820440429136,0.216182926524869,7.875289333393691,1672.3333333333333,0.908205110107284,dg5_bulk,clustered,1.0,4,2.238952014814589
6,1.0,196,1.2070065968652357,184,6.355006105006105,0.13842762375456505,8.321036500243887,1740.5,0.7943757631257631,dg5_bulk,clustered,1.0,8,1.461924253428603
6,1.0,749.3333333333334,1.0,749.3333333333334,1,1,15.271019166599823,7477,1,dijkstra,clustered,1.0,1,1.0
6,1.0,1852.8333333333333,1.0,1852.8333333333333,1,1,18.32401083311197,7117,1,astar,double_wall,1.0,1,1.0
6,1.0,2072.6666666666665,1.0,2072.6666666666665,1,1,45.39154416685657,7979,1,bidir,double_wall,1.0,1,1.0
6,1.0,2242.3333333333335,1.371149445520155,1936.6666666666667,1.0,0.5,10.95119150007425,4150.833333333333,1.0,dg5_bulk,double_wall,1.0,1,1.826086956521739
6,1.0,1177.1666666666667,1.370924524242602,1004.3333333333334,1.9730030472179274,0.3363834423106113,11.036366833195643,4207.5,0.9865015236089637,dg5_bulk,double_wall,1.0,2,1.826086956521739
6,1.0,674.8333333333334,1.380596139177375,559.1666666666666,3.6972195999024184,0.21362106033003822,12.173483833218294,4372.666666666667,0.9243048999756046,dg5_bulk,double_wall,1.0,4,1.8421052631578947
6,1.0,506.5,1.2469342251950948,420.3333333333333,6.479970935083591,0.2337538472926432,15.164139500029705,4893.166666666667,0.8099963668854488,dg5_bulk,double_wall,1.0,8,1.8405797101449275
6,1.0,1919,1.0,1919,1,1,18.82787899982456,7372.166666666667,1,dijkstra,double_wall,1.0,1,1.0
6,1.0,2300,1.0,2300,1,1,23.74717950018142,9024.666666666666,1,astar,open,1.0,1,1.0
6,1.0,2256.6666666666665,1.0,2256.6666666666665,1,1,45.84420449964455,8857.333333333334,1,bidir,open,1.0,1,1.0
6,1.0,460,1.0,230,1.0,0.5,2.1775843332155396,2530,1.0,dg5_bulk,open,1.0,1,1.0
6,1.0,268.6666666666667,1.0,145.66666666666666,1.9573134884788002,0.3382003368596635,2.3379030002009435,2579.3333333333335,0.9786567442394001,dg5_bulk,open,1.0,2,1.0
6,1.0,320.6666666666667,1.0,199,3.778815451559559,0.20956298438698354,3.9246744997096052,2967,0.9447038628898897,dg5_bulk,open,1.0,4,1.0
6,1.0,241.66666666666666,1.0,168,6.7133245989359125,0.13232469434528993,5.276897666741813,3172.6666666666665,0.8391655748669891,dg5_bulk,open,1.0,8,1.0
6,1.0,2300,1.0,2300,1,1,23.82370666676555,9024.666666666666,1,dijkstra,open,1.0,1,1.0
6,1.0,276.3333333333333,1.0,276.3333333333333,1,1,5.044828000033401,2553,1,astar,random_geometric,1.0,1,1.0
6,1.0,1107.5,1.0,1107.5,1,1,30.16150549986681,7000.666666666667,1,bidir,random_geometric,1.0,1,1.0
6,1.0,193.33333333333334,1.0588047597252925,96.66666666666667,1.0,0.5,1.2922008334802133,1063.3333333333333,1.0,dg5_bulk,random_geometric,1.0,1,1.0981115622219833
