barrier_count,case_id,critical_path_ops,distance_ratio,error_code,found,logical_rounds,max_parallel_width,mean_parallel_width,nodes,reentry_count,requested_nodes,seed,serial_fraction,solver,switch_count,topology,total_work,valid,wall_ms,worker_utilization,workers
40,6,136,1.0,,True,96,2,1.95,381,1,400,0,0.3389830508474576,dg5_bulk,1,wall,554,True,1.0625229997458518,0.975,2
33,6,158,1.0,,True,125,4,3.5454545454545454,381,2,400,0,0.22,dg5_bulk,2,wall,738,True,1.925985000525543,0.8863636363636364,4
22,6,114,1.0,,True,92,8,5.318181818181818,381,2,400,0,0.15827338129496402,dg5_bulk,3,wall,825,True,2.3690939997322857,0.6647727272727273,8
282,7,282,1.0,,True,282,1,1,381,,400,1,1,dijkstra,,wall,1039,True,1.6021759993236628,1,1
320,7,320,1.0,,True,320,1,1,381,,400,1,1,bidir,,wall,1188,True,4.218443000354455,1,1
233,7,233,1.0,,True,233,1,1,381,,400,1,1,astar,,wall,854,True,1.2248779994479264,1,1
39,7,78,1.0,,True,39,1,1.0,381,0,400,1,0.5,dg5_bulk,0,wall,420,True,0.36035400080436375,1.0,1
40,7,136,1.0,,True,96,2,1.95,381,1,400,1,0.3389830508474576,dg5_bulk,1,wall,554,True,1.0269390004395973,0.975,2
33,7,152,1.0,,True,119,4,3.5454545454545454,381,2,400,1,0.22,dg5_bulk,2,wall,728,True,1.8397149997326778,0.8863636363636364,4
26,7,137,1.0,,True,111,8,5.461538461538462,381,3,400,1,0.15476190476190477,dg5_bulk,3,wall,885,True,2.607583000099112,0.6826923076923077,8
1257,8,1257,1.0,,True,1257,1,1,1561,,1600,0,1,dijkstra,,wall,4839,True,11.580508000406553,1,1
1295,8,1295,1.0,,True,1295,1,1,1561,,1600,0,1,bidir,,wall,4998,True,25.32406699992862,1,1
990,8,990,1.0,,True,990,1,1,1561,,1600,0,1,astar,,wall,3800,True,8.975017999546253,1,1
157,8,314,1.0,,True,157,1,1.0,1561,0,1600,0,0.5,dg5_bulk,0,wall,1718,True,1.4839579998806585,1.0,1
79,8,158,1.0,,True,79,2,1.9873417721518987,1561,0,1600,0,0.3347457627118644,dg5_bulk,0,wall,1718,True,1.4448990004893858,0.9936708860759493,2
82,8,215,1.0,,True,133,4,3.8292682926829267,1561,1,1600,0,0.20707070707070707,dg5_bulk,1,wall,2009,True,2.818531999764673,0.9573170731707317,4
