case_id,critical_path_speedup,distance_ratio,efficiency,found,logical_speedup,nodes,serial_fraction,topology,valid,wall_speedup,worker_utilization,workers
0,1.0,1.0,1.0,True,1.0,400,0.5,open,True,1.0,1.0,1
0,0.5263157894736842,1.0,0.18181818181818182,True,0.36363636363636365,400,0.3442622950819672,open,True,0.3205855505398341,0.9523809523809523,2
0,0.5063291139240507,1.0,0.08064516129032258,True,0.3225806451612903,400,0.22077922077922077,open,True,0.21140938490033526,0.8823529411764706,4
0,0.5369127516778524,1.0,0.040983606557377046,True,0.32786885245901637,400,0.15976331360946747,open,True,0.13817422953270722,0.6574074074074074,8
1,1.0,1.0,1.0,True,1.0,400,0.5,open,True,1.0,1.0,1
1,0.5263157894736842,1.0,0.18181818181818182,True,0.36363636363636365,400,0.3442622950819672,open,True,0.3363845173212513,0.9523809523809523,2
1,0.5063291139240507,1.0,0.08064516129032258,True,0.3225806451612903,400,0.22077922077922077,open,True,0.19685675269624012,0.8823529411764706,4
1,0.5369127516778524,1.0,0.040983606557377046,True,0.32786885245901637,400,0.15976331360946747,open,True,0.14340539930797142,0.6574074074074074,8
2,1.0,1.0,1.0,True,1.0,1600,0.5,open,True,1.0,1.0,1
2,1.9753086419753085,1.0,0.9876543209876543,True,1.9753086419753085,1600,0.3360995850622407,open,True,1.1080259289372105,0.9876543209876543,2
2,1.3733905579399142,1.0,0.26666666666666666,True,1.0666666666666667,1600,0.20595533498759305,open,True,0.5433851815942748,0.963855421686747,4
2,1.3061224489795917,1.0,0.11235955056179775,True,0.898876404494382,1600,0.12248628884826325,open,True,0.32638113498848514,0.8955223880597015,8
3,1.0,1.0,1.0,True,1.0,1600,0.5,open,True,1.0,1.0,1
3,1.9753086419753085,1.0,0.9876543209876543,True,1.9753086419753085,1600,0.3360995850622407,open,True,1.103684540448014,0.9876543209876543,2
3,1.3733905579399142,1.0,0.26666666666666666,True,1.0666666666666667,1600,0.20595533498759305,open,True,0.5167063962792946,0.963855421686747,4
3,1.3061224489795917,1.0,0.11235955056179775,True,0.898876404494382,1600,0.12248628884826325,open,True,0.32142869864057627,0.8955223880597015,8
