case_id,config,distance_ratio,emergency,exact_match,first_path_work,found,nodes,quality_budget_used,repair,seed,steps,strategy,target_work,time_ms,topology,total_work,valid,within_10pct,work_goal_ratio
50,current,1.0,True,True,,False,380,0,False,2,19,geometric_corridor,190,7.600177999847801,disconnected,826,True,True,2.1736842105263157
51,current,1.0,True,True,,False,1560,0,False,0,74,geometric_corridor,780,31.09055300046748,disconnected,3326,True,True,2.132051282051282
52,current,1.0,True,True,,False,1560,0,False,1,74,geometric_corridor,780,30.98426999986259,disconnected,3326,True,True,2.132051282051282
53,current,1.0,True,True,,False,1560,0,False,2,74,geometric_corridor,780,30.758502000026056,disconnected,3326,True,True,2.132051282051282
54,current,1.0460231495393717,False,False,20,True,400,180,False,0,3,geometric_corridor,200,6.073769000067841,random_geometric,200,True,True,0.5
55,current,1.0,False,True,77,True,400,44,True,0,4,portal,200,7.52370999998675,clustered,121,True,True,0.3025
56,current,1.0,False,True,43,True,400,48,True,0,5,hub_aware,200,3.1784619995960384,scale_free_pos,91,True,True,0.2275
57,current,1.0,False,True,43,True,400,48,True,0,5,hub_aware,200,0.4499730002862634,scale_free_no_pos,91,True,True,0.2275
58,current,1.047172207305179,False,False,19,True,400,181,False,1,3,geometric_corridor,200,5.987165999613353,random_geometric,200,True,True,0.5
59,current,1.0,False,True,88,True,400,45,True,1,4,portal,200,7.529289000558492,clustered,133,True,True,0.3325
60,current,1.0,False,True,88,True,400,72,True,1,6,hub_aware,200,3.056114000173693,scale_free_pos,160,True,True,0.4
61,current,1.0,False,True,88,True,400,72,True,1,6,hub_aware,200,0.515132000145968,scale_free_no_pos,160,True,True,0.4
62,current,1.0869735678242203,False,False,25,True,400,175,False,2,4,geometric_corridor,200,5.9196310003244434,random_geometric,200,True,True,0.5
63,current,1.0890525059745904,True,False,,True,400,0,False,2,19,portal,200,14.50327299971832,clustered,607,True,True,1.5175
64,current,1.0,False,True,88,True,400,72,True,2,6,hub_aware,200,3.362686000400572,scale_free_pos,160,True,True,0.4
65,current,1.0,False,True,88,True,400,72,True,2,6,hub_aware,200,0.5014019998270669,scale_free_no_pos,160,True,True,0.4
66,current,1.0444813311179493,False,False,28,True,900,422,False,0,4,geometric_corridor,450,14.082355000027746,random_geometric,450,True,True,0.5
67,current,1.0,False,True,,True,900,0,False,0,254,portal,450,30.875081999511167,clustered,450,True,True,0.5
68,current,1.0,False,True,198,True,900,137,True,0,8,hub_aware,450,7.108101000085298,scale_free_pos,335,True,True,0.37222222222222223
69,current,1.0,False,True,198,True,900,137,True,0,8,hub_aware,450,1.2249350002093706,scale_free_no_pos,335,True,True,0.37222222222222223
70,current,1.0487805439979778,False,False,30,True,900,420,False,1,4,geometric_corridor,450,13.394956999945862,random_geometric,450,True,True,0.5
71,current,1.118170906281548,False,False,,True,900,0,False,1,7,portal,450,22.5709199994526,clustered,450,True,False,0.5
72,current,1.0,False,True,,True,900,0,False,1,7,hub_aware,450,14.152644000205328,scale_free_pos,450,True,True,0.5
73,current,1.0,False,True,,True,900,0,False,1,5,hub_aware,450,6.119839000348293,scale_free_no_pos,450,True,True,0.5
74,current,1.0945885541825005,False,False,30,True,900,420,False,2,4,geometric_corridor,450,13.748741999734193,random_geometric,450,True,True,0.5
75,current,1.0000000000000002,False,True,,True,900,0,False,2,287,portal,450,29.75042999969446,clustered,450,True,True,0.5
76,current,1.0,False,True,198,True,900,64,True,2,5,hub_aware,450,6.8329169998833095,scale_free_pos,262,True,True,0.2911111111111111
77,current,1.0,False,True,198,True,900,64,True,2,5,hub_aware,450,1.0005499998442247,scale_free_no_pos,262,True,True,0.2911111111111111
0,lean_a,1.0,False,True,39,True,400,161,False,0,4,geometric_corridor,200,3.507057999740937,open,200,True,True,0.5
1,lean_a,1.0,False,True,39,True,400,161,False,1,4,geometric_corridor,200,2.9873480007154285,open,200,True,True,0.5
2,lean_a,1.0,False,True,39,True,400,161,False,2,4,geometric_corridor,200,2.9395740002655657,open,200,True,True,0.5
3,lean_a,1.0,False,True,79,True,1600,674,False,0,6,geometric_corridor,800,12.944664000315242,open,753,True,True,0.470625
4,lean_a,1.0,False,True,79,True,1600,674,False,1,6,geometric_corridor,800,12.459057000342,open,753,True,True,0.470625
5,lean_a,1.0,False,True,79,True,1600,674,False,2,6,geometric_corridor,800,12.07471500038082,open,753,True,True,0.470625
6,lean_a,0.9999999999999999,False,True,283,True,400,0,False,0,113,weighted_cost,200,2.048682999884477,weighted_noise,283,True,True,0.7075
7,lean_a,0.9999999999999999,False,True,284,True,400,0,False,1,117,weighted_cost,200,1.905662999888591,weighted_noise,284,True,True,0.71
8,lean_a,1.0,False,True,278,True,400,0,False,2,117,weighted_cost,200,1.931533000060881,weighted_noise,278,True,True,0.695
9,lean_a,0.9999999999999999,False,True,1152,True,1600,0,False,0,478,weighted_cost,800,8.71759799974825,weighted_noise,1152,True,True,0.72
10,lean_a,1.0055542845825622,False,False,1152,True,1600,0,False,1,471,weighted_cost,800,8.556490000046324,weighted_noise,1152,True,True,0.72
11,lean_a,1.04527567976037,False,False,,True,1600,0,False,2,10,weighted_cost,800,16.628274000140664,weighted_noise,1152,True,True,0.72
12,lean_a,1.0,False,True,39,True,381,152,False,0,4,geometric_corridor,191,2.8900790002808208,wall,191,True,True,0.5013123359580053
13,lean_a,1.0,False,True,39,True,381,152,False,1,4,geometric_corridor,191,2.8671830004896037,wall,191,True,True,0.5013123359580053
14,lean_a,1.0,False,True,39,True,381,152,False,2,4,geometric_corridor,191,2.813580000292859,wall,191,True,True,0.5013123359580053
15,lean_a,1.0,False,True,79,True,1561,656,False,0,6,geometric_corridor,781,12.09387400012929,wall,735,True,True,0.47085201793721976
16,lean_a,1.0,False,True,79,True,1561,656,False,1,6,geometric_corridor,781,12.25930900000094,wall,735,True,True,0.47085201793721976
17,lean_a,1.0,False,True,84,True,1561,656,False,2,6,geometric_corridor,781,12.002323999695363,wall,740,True,True,0.4740550928891736
18,lean_a,1.0,True,True,,True,362,0,False,0,15,geometric_corridor,181,6.417898999643512,double_wall,488,True,True,1.3480662983425415
19,lean_a,1.0,False,True,,True,362,0,False,1,7,geometric_corridor,181,5.179441999644041,double_wall,181,True,True,0.5
20,lean_a,1.0,True,True,,True,362,0,False,2,15,geometric_corridor,181,6.404667000424524,double_wall,488,True,True,1.3480662983425415
21,lean_a,1.0,True,True,,True,1522,0,False,0,57,geometric_corridor,761,27.1592730005068,double_wall,2069,True,True,1.3593955321944808
22,lean_a,1.0,True,True,,True,1522,0,False,1,40,geometric_corridor,761,26.48685700023634,double_wall,1670,True,True,1.0972404730617609
23,lean_a,1.0,True,True,,True,1522,0,False,2,57,geometric_corridor,761,28.637938999963808,double_wall,2069,True,True,1.3593955321944808
24,lean_a,1.0,False,True,39,True,368,145,False,0,4,geometric_corridor,184,2.825429000040458,u_shape,184,True,True,0.5
25,lean_a,1.0,False,True,39,True,368,145,False,1,4,geometric_corridor,184,2.7600479998000083,u_shape,184,True,True,0.5
26,lean_a,1.0,False,True,39,True,368,145,False,2,4,geometric_corridor,184,2.76233200020215,u_shape,184,True,True,0.5
27,lean_a,1.0,False,True,79,True,1538,647,False,0,6,geometric_corridor,769,11.896971999703965,u_shape,726,True,True,0.4720416124837451
28,lean_a,1.0,False,True,79,True,1538,647,False,1,6,geometric_corridor,769,11.803336999946623,u_shape,726,True,True,0.4720416124837451
29,lean_a,1.0,False,True,79,True,1538,647,False,2,6,geometric_corridor,769,11.672114999782934,u_shape,726,True,True,0.4720416124837451
30,lean_a,1.0,False,True,39,True,370,146,False,0,4,geometric_corridor,185,2.7266420001978986,culdesac,185,True,True,0.5
31,lean_a,1.0,False,True,39,True,370,146,False,1,4,geometric_corridor,185,2.7628759999061003,culdesac,185,True,True,0.5
32,lean_a,1.0,False,True,39,True,370,146,False,2,4,geometric_corridor,185,2.677538000170898,culdesac,185,True,True,0.5
33,lean_a,1.0,False,True,79,True,1540,647,False,0,6,geometric_corridor,770,11.765148000449699,culdesac,726,True,True,0.4714285714285714
34,lean_a,1.0,False,True,79,True,1540,647,False,1,6,geometric_corridor,770,11.617066999860981,culdesac,726,True,True,0.4714285714285714
