function,calls,total_ms,mean_ms,pct_of_elapsed
_portal_strategy,29,128.94443100231,4.446359689734828,32.32678900020765
_geometric_corridor_strategy,56,117.17560499801039,2.092421517821614,29.37630597380742
_corridor_nodes,85,87.44124499662576,1.0287205293720678,21.921805036083676
_graph_features,78,73.89744700230949,0.9474031666962756,18.52633074828094
_long_edge_portal_endpoints,29,68.68299800044042,2.3683792413944973,17.219051392937978
_beam_astar_path,95,59.17368699465442,0.6228809157332044,14.835036138988086
_weighted_cost_strategy,26,34.93331500158092,1.3435890385223432,8.75789589636224
_budgeted_bidirectional_dijkstra,26,34.4855940038542,1.3263690001482387,8.645650783394045
_budgeted_dijkstra,278,27.510059003361675,0.09895704677468228,6.896861429936464
_candidate_result,259,25.959902992326533,0.10023128568465843,6.508232266996973
_weighted_astar,20,14.197582002452691,0.7098791001226346,3.5593800689089976
_hub_aware_strategy,24,11.950360001719673,0.49793166673831973,2.995994191057326
_expand_by_hops,143,3.787528999055212,0.026486216776609874,0.9495458612123546
_greedy_geometric_path,20,2.6725070010797936,0.13362535005398968,0.6700062131720638
_local_repair,19,2.3284089993467205,0.12254784207088003,0.5837397229409436
path_distance,72,0.9099009994315566,0.012637513880993842,0.22811514534640925
_choose_strategy,78,0.11037099466193467,0.0014150127520760857,0.027670367990653956
