cases,mean_beam_astar_path_ms,mean_budgeted_bidirectional_dijkstra_ms,mean_budgeted_dijkstra_ms,mean_corridor_nodes_ms,mean_elapsed_ms,mean_expand_by_hops_ms,mean_graph_features_ms,mean_local_repair_ms,mean_memory_begin_ms,mean_memory_end_ms,mean_ratio,mean_weighted_astar_ms,mean_work,topology
6,0.0,0.0,0.3067225000753145,0.5419021663328749,6.994487499923707,0.08835116629294741,0.9762426664868448,0.07824566652440505,0.0,0.0,1.0,0.0,195.0,clustered
6,0.22642850005164897,0.0,0.3490915000838868,1.3197845002347701,2.9560480002146505,0.0,0.9951300000163125,0.0,0.0,0.0,1.0,0.0,430.0,culdesac
6,4.463945333403292,1.3417293334896385,0.3405818333703792,2.1174114999666926,13.256422999954035,0.13372233388508903,1.018066333472234,0.0,0.0,0.0,1.0,0.7561628334163591,2007.0,disconnected
6,2.5739959993795005,1.3211550002173074,0.3404028342022987,2.0205408333519395,11.035173833382336,0.13253750012154342,0.9938781665065713,0.0,0.0,0.0,1.0,0.7235306669220639,1156.8333333333333,double_wall
6,0.21363283318957352,0.0,0.35602500020104344,1.384209833455922,3.058291666699612,0.0,1.0172700002234099,0.0,0.0,0.0,1.0,0.0,450.0,open
6,0.1878823331935564,0.0,0.4903126662914777,0.8839338333928026,2.663918333382753,0.0,1.0251978334660332,0.0,0.0,0.0,1.0613365589945332,0.0,292.5,random_geometric
6,0.22290816665796834,0.0,0.3048796666007547,1.193080999958814,2.8267569999419115,0.0,1.038396999926287,0.0,0.0,0.0,1.0,0.0,394.6666666666667,random_obstacles
6,0.33368283326732734,0.22003033336659428,0.5459844998464783,0.006786833485724249,1.7851723335600884,0.10139533317972867,0.15689899995171194,0.11243233317751826,0.0,0.0,1.0,0.09334333329510021,216.83333333333334,scale_free_no_pos
6,0.0,0.0,0.5221905000022767,0.15876849996251016,2.857754499927978,0.10882833324406722,0.9279418333486925,0.14251266687400252,0.0,0.0,1.0,0.0,216.83333333333334,scale_free_pos
6,1.1208221668918366,1.125356166843024,0.17628133324857723,1.9602003329358315,8.573970666626943,0.04285133324325822,0.9785355000531126,0.0,0.0,0.0,1.0,0.7932268334419253,388.5,spiral
6,0.2087169997745756,0.0,0.35260616671924555,1.297124166588522,2.9273168332413966,0.0,1.0007621666166717,0.0,0.0,0.0,1.0,0.0,429.5,u_shape
6,0.23831966670210628,0.0,0.38812333332316484,1.448941999872962,3.241044500100543,0.0,1.0870916670076742,0.0,0.0,0.0,1.0,0.0,437.5,wall
6,0.07194633326434996,1.7393281667258027,0.11180799992871471,0.24085533323159325,4.303298999881615,0.02356883320923468,1.1008289999760261,0.05487749998186094,0.0,0.0,1.008471660723822,0.0,716.8333333333334,weighted_noise
