suite_id,scenario_id,algorithm,query_id,runs,path_found_rate,optimality_proven_rate,mean_path_cost,mean_work_actions,mean_solver_time_ms,mean_end_to_end_time_ms
h,g,anchor,q,1,1,0,4.0922711137069125,90,0.019508999999999999,0.057273999999999999
h,g,dijkstra,q,1,1,1,4.0716630727683913,88,0.019428999999999998,0.66056899999999996
