cases,mean_time_ratio_vs_best_baseline,mean_work_ratio_vs_best_baseline,topology
6,7.131089757272402,1.3361325560345376,open
6,23.59968022055664,5.85837266357877,weighted_noise
6,14.200953945015339,2.176830090535728,wall
6,14.032852954054439,2.8697087538796513,double_wall
6,8.21970072213398,1.996302931173248,u_shape
6,10.461364267087614,2.0766246246246247,culdesac
6,12.466827190561885,3.689795083513638,spiral
6,9.132052289125841,1.9844347598364653,random_obstacles
6,14.877764036338345,2.43248946998947,disconnected
6,21.753563645688548,3.7541061451418933,random_geometric
6,16.03284853085077,3.2962172120037776,clustered
6,34.9524929559799,96.78725718844416,scale_free_pos
6,3.1235303382288144,96.78725718844416,scale_free_no_pos
