cases,found_rate,gate_exact_rate,mean_distance_ratio,mean_steps,mean_total_time_ms,mean_total_work,median_total_time_ms,median_total_work,quality_guard_rate,quality_guard_replace_rate,reentry_rate,solver,switch_rate,topology,valid_rate,worst_distance_ratio
6,1.0,0.0,1.0,7.5,3.482602166684501,49.666666666666664,3.2474225000100887,54.5,0.0,0.0,0.0,bidir,0.0,scale_free_pos,1.0,1.0
6,1.0,1.0,1.0,7.5,47.84620099998923,4587.666666666667,47.19900999998572,4592.5,0.0,0.0,0.0,dg5,0.0,scale_free_pos,1.0,1.0
6,1.0,0.0,1.0,474.1666666666667,6.0469813333270395,3104.6666666666665,5.3651100000138285,2776.0,0.0,0.0,0.0,dijkstra,0.0,scale_free_pos,1.0,1.0
6,1.0,0.0,1.0,851,7.317082000042774,2975,7.25412900004585,2975.0,0.0,0.0,0.0,astar,0.0,spiral,1.0,1.0
6,1.0,0.0,1.0,524.5,9.742589666643653,1780.5,10.563419499987958,1780.5,0.0,0.0,0.0,bidir,0.0,spiral,1.0,1.0
6,1.0,0.0,1.0,1673.5,91.25853900000418,6869,90.88446399994154,6869.0,0.5,0.5,0.5,dg5,1.0,spiral,1.0,1.0
6,1.0,0.0,1.0,851,7.2995438333123275,2975,7.1717604999435025,2975.0,0.0,0.0,0.0,dijkstra,0.0,spiral,1.0,1.0
6,1.0,0.0,1.0,953,8.664616000013817,3594,8.599163500036866,3594.0,0.0,0.0,0.0,astar,0.0,u_shape,1.0,1.0
6,1.0,0.0,1.0,839.5,15.778569000038564,3176,15.371541000035904,3176.0,0.0,0.0,0.0,bidir,0.0,u_shape,1.0,1.0
6,1.0,0.0,1.0,115.5,59.038340333340024,5236,52.70749400000341,5236.0,0.5,0.0,0.0,dg5,0.5,u_shape,1.0,1.0
6,1.0,0.0,1.0,953,8.722257666666641,3594,8.614925500012305,3594.0,0.0,0.0,0.0,dijkstra,0.0,u_shape,1.0,1.0
6,1.0,0.0,1.0,572.3333333333334,4.804134166666548,2174,4.409549000001789,2070.0,0.0,0.0,0.0,astar,0.0,wall,1.0,1.0
6,1.0,0.0,1.0,822.1666666666666,15.538493499983966,3148.6666666666665,15.294701499954044,3100.0,0.0,0.0,0.0,bidir,0.0,wall,1.0,1.0
6,1.0,0.0,1.0,100,61.63101616670019,4775,61.58770950003145,4775.0,0.0,0.0,0.0,dg5,0.0,wall,1.0,1.0
6,1.0,0.0,1.0,709.1666666666666,6.197702833333096,2703.6666666666665,5.727515999979005,2563.0,0.0,0.0,0.0,dijkstra,0.0,wall,1.0,1.0
6,1.0,0.0,1.061602114820049,107.83333333333333,0.8404858333695605,420.5,0.9177815000498413,452.0,0.0,0.0,0.0,astar,0.0,weighted_noise,0.16666666666666666,1.1328511482361878
6,1.0,0.0,1.0,915,16.13152650001363,2904.5,16.734856500022488,2853.5,0.0,0.0,0.0,bidir,0.0,weighted_noise,1.0,1.0000000000000002
6,1.0,1.0,1.0,915,76.59703583334476,7784.5,76.82026200001246,7733.5,0.0,0.0,0.0,dg5,0.0,weighted_noise,1.0,1.0
6,1.0,0.0,1.0,998,9.915163999986968,3871.3333333333335,9.93067499996414,3878.0,0.0,0.0,0.0,dijkstra,0.0,weighted_noise,1.0,1.0
