cases,exact_rate,fallback_rate,found_rate,mean_distance_ratio,mean_steps,mean_total_time_ms,mean_total_work,median_total_time_ms,median_total_work,oracle_rate,solver,topology,valid_rate,within_10pct_rate,worst_distance_ratio
6,1.0,0.0,1.0,1.0,474.1666666666667,6.166591833334678,3104.6666666666665,5.363410500194732,2776.0,0.0,astar,scale_free_no_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,7.5,3.1338420000489955,49.666666666666664,3.1023149999782618,54.5,0.0,bidir,scale_free_no_pos,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,7.5,7.491375999658582,4587.666666666667,7.342808499288367,4592.5,0.0,dg5_clean,scale_free_no_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,5.833333333333333,1.8162045003009553,216.83333333333334,0.9146740003416198,194.0,0.0,dg6,scale_free_no_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,474.1666666666667,6.020483999842933,3104.6666666666665,5.237596499682695,2776.0,0.0,dijkstra,scale_free_no_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,187.66666666666666,3.3475078333443284,1568.5,3.305439499854401,1582.0,0.0,astar,scale_free_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,7.5,3.7348195000959095,49.666666666666664,3.7207529999250255,54.5,0.0,bidir,scale_free_pos,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,7.5,9.430123999815502,4587.666666666667,9.219308999945497,4592.5,0.0,dg5_clean,scale_free_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,6.333333333333333,2.950925166715024,216.83333333333334,1.730663999751414,194.0,0.0,dg6,scale_free_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,474.1666666666667,6.185112999901321,3104.6666666666665,5.510526500074775,2776.0,0.0,dijkstra,scale_free_pos,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,851,7.212567666859589,2975,7.149948500227765,2975.0,0.0,astar,spiral,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,524.5,9.66190833347961,1780.5,9.226117500020337,1780.5,0.0,bidir,spiral,1.0,1.0,1.0
6,0.5,1.0,1.0,1.2894736842105263,1673.5,20.76710566689144,6478,20.158421500582335,6478.0,0.0,dg5_clean,spiral,1.0,0.5,1.5789473684210527
6,1.0,0.0,1.0,1.0,177.5,8.190984000066237,388.5,8.134322000387328,388.5,0.0,dg6,spiral,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,851,7.558721000047323,2975,7.068476500080578,2975.0,0.0,dijkstra,spiral,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,953,8.760081999904893,3594,8.967633499651129,3594.0,0.0,astar,u_shape,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,839.5,16.104458000124094,3176,16.066631500507356,3176.0,0.0,bidir,u_shape,1.0,1.0,1.0
6,1.0,0.5,1.0,1.0,115.5,7.71336916659493,4662.5,7.636611499947321,4662.5,0.0,dg5_clean,u_shape,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,5,3.018319833396769,429.5,2.966880499570834,429.5,0.0,dg6,u_shape,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,953,8.730777999971906,3594,8.695615499618725,3594.0,0.0,dijkstra,u_shape,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,572.3333333333334,4.841960666605398,2174,4.550599499907548,2070.0,0.0,astar,wall,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,822.1666666666666,15.248954499838874,3148.6666666666665,14.922051999747055,3100.0,0.0,bidir,wall,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,100,7.7612945001419575,4775,7.468940500075405,4775.0,0.0,dg5_clean,wall,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,5,3.123027166717899,437.5,3.0292650003502786,437.5,0.0,dg6,wall,1.0,1.0,1.0
6,1.0,0.0,1.0,1.0,709.1666666666666,6.198928333560616,2703.6666666666665,5.83189350027169,2563.0,0.0,dijkstra,wall,1.0,1.0,1.0
6,0.0,0.0,1.0,1.061602114820049,107.83333333333333,0.8977833335848118,420.5,0.854378500207531,452.0,0.0,astar,weighted_noise,0.16666666666666666,0.8333333333333334,1.1328511482361878
6,1.0,0.0,1.0,1.0,915,16.013843499725528,2904.5,16.52466449968415,2853.5,0.0,bidir,weighted_noise,1.0,1.0,1.0000000000000002
6,1.0,1.0,1.0,1.0,915,23.25729033312503,7784.5,23.205467499792576,7733.5,0.0,dg5_clean,weighted_noise,1.0,1.0,1.0
6,0.6666666666666666,0.0,1.0,1.008471660723822,217.66666666666666,3.8192895000671947,716.8333333333334,2.600440499918477,718.0,0.0,dg6,weighted_noise,1.0,1.0,1.04527567976037
6,1.0,0.0,1.0,1.0,998,9.935490500083688,3871.3333333333335,9.817840999858163,3878.0,0.0,dijkstra,weighted_noise,1.0,1.0,1.0
