budget_exhausted,candidate_count,case_id,distance,distance_ratio,edges,emergency_path_used,emergency_work,error_code,exact_match,fallback_used,first_path_work,found,nodes,oracle_used,path_distance,peak_kib_uniform,quality_budget_used,repair_success,repair_triggered,requested_nodes,seed,solver,steps,strategy,target_work,topology,topology_gate_action,total_time_ms,total_work,valid,within_10pct,work_goal_ratio
,0,6,23.91703129446701,1.0564054389456454,760,False,0,,False,False,,True,400,False,23.470405377281267,0.0,,False,False,400,0,astar,58,,,weighted_noise,,0.31866800054558553,221,False,True,
,0,6,22.64001150764389,1.0,760,False,0,,True,True,,True,400,False,22.64001150764389,0.0,,False,False,400,0,dg5_clean,332,,,weighted_noise,EXACT_PRECHECK,7.607720999658341,3001,True,True,
True,1,6,22.640011507643887,0.9999999999999999,760,False,0,,True,False,283,True,400,False,22.64001150764389,0.0,0,False,False,400,0,dg6,113,weighted_cost,180,weighted_noise,,1.3258709996080142,283,True,True,0.7075
,0,7,22.237518860076822,1.0,760,False,0,,True,False,,True,400,False,22.237518860076822,0.0,,False,False,400,1,dijkstra,392,,,weighted_noise,,3.3878280000863015,1491,True,True,
,0,7,22.23751886007682,0.9999999999999999,760,False,0,,True,False,,True,400,False,22.237518860076822,0.0,,False,False,400,1,bidir,344,,,weighted_noise,,5.154691999450733,1086,True,True,
,0,7,25.19179877456191,1.1328511482361878,760,False,0,,False,False,,True,400,False,25.09461561797457,0.0,,False,False,400,1,astar,83,,,weighted_noise,,0.48902500020631123,324,False,False,
,0,7,22.237518860076822,1.0,760,False,0,,True,True,,True,400,False,22.237518860076822,0.0,,False,False,400,1,dg5_clean,344,,,weighted_noise,EXACT_PRECHECK,7.229867999740236,3006,True,True,
True,1,7,22.23751886007682,0.9999999999999999,760,False,0,,True,False,284,True,400,False,22.237518860076822,0.0,0,False,False,400,1,dg6,117,weighted_cost,180,weighted_noise,,1.314613999966241,284,True,True,0.71
,0,8,24.79502109296181,1.0,760,False,0,,True,False,,True,400,False,24.79502109296181,0.0,,False,False,400,2,dijkstra,400,,,weighted_noise,,3.1756890002725413,1518,True,True,
,0,8,24.79502109296181,1.0,760,False,0,,True,False,,True,400,False,24.79502109296181,0.0,,False,False,400,2,bidir,344,,,weighted_noise,,4.759307999847806,1061,True,True,
,0,8,25.689540107741056,1.0360765579277187,760,False,0,,False,False,,True,400,False,25.649606594869915,0.0,,False,False,400,2,astar,54,,,weighted_noise,,0.2894449999075732,205,False,True,
,0,8,24.79502109296181,1.0,760,False,0,,True,True,,True,400,False,24.79502109296181,0.0,,False,False,400,2,dg5_clean,344,,,weighted_noise,EXACT_PRECHECK,6.163287000163109,2981,True,True,
True,1,8,24.79502109296181,1.0,760,False,0,,True,False,278,True,400,False,24.79502109296181,0.0,0,False,False,400,2,dg6,117,weighted_cost,180,weighted_noise,,1.268924999749288,278,True,True,0.695
,0,9,49.058938674633474,1.0,3120,False,0,,True,False,,True,1600,False,49.058938674633474,0.0,,False,False,1600,0,dijkstra,1600,,,weighted_noise,,16.247853999630024,6238,True,True,
,0,9,49.05893867463347,0.9999999999999999,3120,False,0,,True,False,,True,1600,False,49.058938674633474,0.0,,False,False,1600,0,bidir,1484,,,weighted_noise,,26.451747999999498,4672,True,True,
,0,9,50.395915991469856,1.0272524712714113,3120,False,0,,False,False,,True,1600,False,50.33531960013587,0.0,,False,False,1600,0,astar,148,,,weighted_noise,,1.807695000024978,580,False,True,
,0,9,49.058938674633474,1.0,3120,False,0,,True,True,,True,1600,False,49.058938674633474,0.0,,False,False,1600,0,dg5_clean,1484,,,weighted_noise,EXACT_PRECHECK,39.90161899946543,12512,True,True,
True,1,9,49.05893867463347,0.9999999999999999,3120,False,0,,True,False,1152,True,1600,False,49.058938674633474,0.0,0,False,False,1600,0,dg6,478,weighted_cost,720,weighted_noise,,4.011225000795093,1152,True,True,0.72
,0,10,46.89970798063637,1.0,3120,False,0,,True,False,,True,1600,False,46.89970798063637,0.0,,False,False,1600,1,dijkstra,1600,,,weighted_noise,,16.955205000158458,6238,True,True,
,0,10,46.899707980636364,0.9999999999999999,3120,False,0,,True,False,,True,1600,False,46.89970798063637,0.0,,False,False,1600,1,bidir,1444,,,weighted_noise,,25.496964999547345,4621,True,True,
,0,10,51.427650552665646,1.0965452188721247,3120,False,0,,False,False,,True,1600,False,50.811728234701015,0.0,,False,False,1600,1,astar,152,,,weighted_noise,,1.2621350006156717,598,False,True,
,0,10,46.89970798063637,1.0,3120,False,0,,True,True,,True,1600,False,46.89970798063637,0.0,,False,False,1600,1,dg5_clean,1444,,,weighted_noise,EXACT_PRECHECK,38.80321399992681,12461,True,True,
True,1,10,47.160202305599896,1.0055542845825622,3120,False,0,,False,False,1152,True,1600,False,47.1602023055999,0.0,0,False,False,1600,1,dg6,471,weighted_cost,720,weighted_noise,,3.87501000022894,1152,True,True,0.72
,0,11,48.36186860781894,1.0,3120,False,0,,True,False,,True,1600,False,48.36186860781894,0.0,,False,False,1600,2,dijkstra,1600,,,weighted_noise,,16.526520999832428,6238,True,True,
,0,11,48.361868607818955,1.0000000000000002,3120,False,0,,True,False,,True,1600,False,48.36186860781894,0.0,,False,False,1600,2,bidir,1542,,,weighted_noise,,26.66798399968684,4906,True,True,
,0,11,49.35240932371695,1.0204818536672062,3120,False,0,,False,False,,True,1600,False,49.35240932371695,0.0,,False,False,1600,2,astar,152,,,weighted_noise,,1.2197320002087508,595,True,True,
,0,11,48.36186860781894,1.0,3120,False,0,,True,True,,True,1600,False,48.36186860781894,0.0,,False,False,1600,2,dg5_clean,1542,,,weighted_noise,EXACT_PRECHECK,39.83803299979627,12746,True,True,
True,0,11,50.551485083519644,1.04527567976037,3120,False,0,,False,False,,True,1600,False,50.551485083519644,0.0,0,False,False,1600,2,dg6,10,weighted_cost,720,weighted_noise,,11.120092000055593,1152,True,True,0.72
,0,12,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,0,dijkstra,318,,,wall,,2.0965780004189583,1175,True,True,
,0,12,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,0,bidir,306,,,wall,,3.8612690004811157,1136,True,True,
,0,12,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,0,astar,253,,,wall,,1.447683999685978,929,True,True,
,0,12,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,0,dg5_clean,41,,39,wall,,2.8483079995567095,1826,True,True,
True,1,12,38.0,1.0,703,False,0,,True,False,39,True,381,False,38.0,0.0,133,False,False,400,0,dg6,4,geometric_corridor,172,wall,,1.58627200016781,172,True,True,0.45144356955380577
,0,13,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,1,dijkstra,282,,,wall,,1.6805240002213395,1039,True,True,
,0,13,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,1,bidir,320,,,wall,,4.5761729998048395,1188,True,True,
,0,13,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,1,astar,233,,,wall,,1.2227970000822097,854,True,True,
,0,13,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,1,dg5_clean,41,,39,wall,,3.0710470000485657,1826,True,True,
True,1,13,38.0,1.0,703,False,0,,True,False,39,True,381,False,38.0,0.0,133,False,False,400,1,dg6,4,geometric_corridor,172,wall,,1.8037190002360148,172,True,True,0.45144356955380577
,0,14,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,2,dijkstra,264,,,wall,,1.9812250002360088,971,True,True,
,0,14,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,2,bidir,324,,,wall,,4.415811999933794,1202,True,True,
,0,14,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,2,astar,219,,,wall,,1.2158969993834035,801,True,True,
,0,14,38.0,1.0,703,False,0,,True,False,,True,381,False,38.0,0.0,,False,False,400,2,dg5_clean,41,,39,wall,,2.977066000312334,1826,True,True,
True,1,14,38.0,1.0,703,False,0,,True,False,39,True,381,False,38.0,0.0,133,False,False,400,2,dg6,4,geometric_corridor,172,wall,,1.6816749994177371,172,True,True,0.45144356955380577
,0,15,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,0,dijkstra,1257,,,wall,,11.62953600032779,4839,True,True,
,0,15,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,0,bidir,1295,,,wall,,25.26793099968927,4998,True,True,
,0,15,78.0,1.0,3003,False,0,,True,False,,True,1561,False,78.0,0.0,,False,False,1600,0,astar,990,,,wall,,9.200257999509631,3800,True,True,
